Seq,AOU,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,Genus,Species
------,-----,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
4,10010,Great Tinamou,Grand Tinamou,Tinamus major,Tinamiformes,Tinamidae,Tinamus,major
7,10030,Little Tinamou,Tinamou soui,Crypturellus soui,Tinamiformes,Tinamidae,Crypturellus,soui
10,40080,Thicket Tinamou,Tinamou cannelle,Crypturellus cinnamomeus,Tinamiformes,Tinamidae,Crypturellus,cinnamomeus
13,10050,Slaty-breasted Tinamou,Tinamou de Boucard,Crypturellus boucardi,Tinamiformes,Tinamidae,Crypturellus,boucardi
16,1770,Black-bellied Whistling-Duck,Dendrocygne ? ventre noir,Dendrocygna autumnalis,Anseriformes,Anatidae,Dendrocygna,autumnalis
19,10200,West Indian Whistling-Duck,Dendrocygne des Antilles,Dendrocygna arborea,Anseriformes,Anatidae,Dendrocygna,arborea
22,1780,Fulvous Whistling-Duck,Dendrocygne fauve,Dendrocygna bicolor,Anseriformes,Anatidae,Dendrocygna,bicolor
25,20590,Swan Goose,Oie cygno?de,Anser cygnoides,Anseriformes,Anatidae,Anser,cygnoides
28,1711,Taiga Bean-Goose,Oie des moissons,Anser fabalis,Anseriformes,Anatidae,Anser,fabalis
31,1714,Tundra Bean-Goose,Oie de la toundra,Anser serrirostris,Anseriformes,Anatidae,Anser,serrirostris
34,1712,Pink-footed Goose,Oie ? bec court,Anser brachyrhynchus,Anseriformes,Anatidae,Anser,brachyrhynchus
37,1710,Greater White-fronted Goose,Oie rieuse,Anser albifrons,Anseriformes,Anatidae,Anser,albifrons
40,1713,Lesser White-fronted Goose,Oie naine,Anser erythropus,Anseriformes,Anatidae,Anser,erythropus
43,20600,Graylag Goose,Oie cendr?e,Anser anser,Anseriformes,Anatidae,Anser,anser
46,1760,Emperor Goose,Oie empereur,Chen canagica,Anseriformes,Anatidae,Chen,canagica
49,1690,Snow Goose,Oie des neiges,Chen caerulescens,Anseriformes,Anatidae,Chen,caerulescens
52,1691,(Blue Goose) Snow Goose,Oie des neiges (forme bleue),Chen caerulescens (blue form),Anseriformes,Anatidae,Chen,caerulescens (blue form)
55,1700,Ross's Goose,Oie de Ross,Chen rossii,Anseriformes,Anatidae,Chen,rossii
