"Species","ModelName","LearningRate","TreeComplexity","BF","Trees","deviancemean","deviancese","correlationmean","correlationse"
"SPPI","SPPI_tc2_lr0.05_bf0.75.RData",0.05,2,0.75,1850,0.00352273283887924,0.000185888148707048,0.710518862194511,0.00936642952420118
SPPI,SPPI_tc4_lr0.05_bf0.75.RData,0.05,4,0.75,1900,0.00313450651541045,0.000179053866698134,0.74597038937129,0.0054474208136257
CCLO,CCLO_tc2_lr0.05_bf0.75.RData,0.05,2,0.75,3750,0.00831934450623131,0.000320675598138783,0.745590375077347,0.00604483154215942
SPPI,SPPI_tc3_lr0.05_bf0.75.RData,0.05,3,0.75,1650,0.00327766773830915,0.000192753817649965,0.733195737929593,0.00349170287095611
CCLO,CCLO_tc5_lr0.05_bf0.75.RData,0.05,5,0.75,3350,0.00727842055835833,0.000281551549975029,0.788222802728266,0.00423110202137109
SPPI,SPPI_tc5_lr0.05_bf0.75.RData,0.05,5,0.75,1550,0.00308180797454843,0.000137063432169707,0.751659982109889,0.00366337760257415
SPPI,SPPI_tc3_lr0.01_bf0.75.RData,0.01,3,0.75,7150,0.00323754415534947,9.36145058594339e-05,0.73402915224588,0.00361318183768636
SPPI,SPPI_tc2_lr0.005_bf0.75.RData,0.005,2,0.75,10000,0.00355707870494161,0.000128376687101374,0.706213913827089,0.0069838992437314
CCLO,CCLO_tc2_lr0.005_bf0.75.RData,0.005,2,0.75,10000,0.0107265437356325,0.000247441085203138,0.685654696780534,0.00591377152637772
LARB,LARB_tc2_lr0.05_bf0.75.RData,0.05,2,0.75,9950,0.0484450152658423,0.00153953421731162,0.563738199090963,0.0203636170479886
LARB,LARB_tc2_lr0.005_bf0.75.RData,0.005,2,0.75,10000,0.0579200588802431,0.00151074156088,0.51857701873819,0.0237474050653242
LARB,LARB_tc5_lr0.05_bf0.75.RData,0.05,5,0.75,5850,0.0425062361914103,0.00110312885482563,0.61030343584338,0.0248058975215499
SPPI,SPPI_tc3_lr0.001_bf0.75.RData,0.001,3,0.75,10000,0.00442080637183304,0.000184243112776642,0.686047749754115,0.00531581242266601
LARB,LARB_tc3_lr0.001_bf0.75.RData,0.001,3,0.75,10000,0.0672075933563042,0.00160848218442108,0.464323797919412,0.0224832768020334
SPPI,SPPI_tc2_lr0.01_bf0.75.RData,0.01,2,0.75,7300,0.00352667579690095,0.000151785103345593,0.714260427010436,0.00275025785175172
LARB,LARB_tc3_lr0.01_bf0.75.RData,0.01,3,0.75,10000,0.0499899634170193,0.00165489426401523,0.563351702622488,0.0211455347168957
CCLO,CCLO_tc4_lr0.01_bf0.75.RData,0.01,4,0.75,9950,0.0079810768932846,0.000343578899855611,0.771390004867111,0.00475391721421212
SPPI,SPPI_tc4_lr0.005_bf0.75.RData,0.005,4,0.75,10000,0.0031626495105639,0.000103412162582158,0.737937825675725,0.00417076123143137
CCLO,CCLO_tc4_lr0.001_bf0.75.RData,0.001,4,0.75,10000,0.0129006673333376,0.000314859375947779,0.648537750346761,0.00525619043404286
CCLO,CCLO_tc2_lr0.01_bf0.75.RData,0.01,2,0.75,10000,0.00920761344411576,0.000287701238032364,0.720986587932719,0.0070052150492771
LARB,LARB_tc3_lr0.05_bf0.75.RData,0.05,3,0.75,6550,0.0463335782953848,0.00172155403589395,0.58595678604871,0.0252769872325639
